epsilon,l.1,l.2,l.3,l.4,l.5,l.6,l.7,l.8,l.9,l.10,l.11,l.12,l.13,l.14,l.15,l.16,l.17,l.18,l.19,l.20,l.21,l.22,l.23,l.24,l.25,l.26,l.27,l.28,l.29,l.30,l.31,l.32,l.33,l.34,l.35,l.36,l.37,l.38,l.39,l.40,l.41,l.42,l.43,l.44,l.45,l.46,l.47,l.48,l.49,l.50,l.51,l.52,l.53,l.54,l.55,l.56,l.57,l.58,l.59,l.60,l.61,l.62,l.63,l_init,logModel
1.07721,1.25262,1.10155,1.29484,1.5606,1.46708,1.35359,1.29358,1.37256,1.2647,1.14617,1.14227,1.16642,1.22095,1.10905,0.848205,0.713621,0.616251,0.516821,0.357336,0.325297,0.0269984,-0.00363143,-0.199699,-0.263605,-0.392,-0.657246,-0.658156,-0.711247,-0.9551,-0.95131,-1.03168,-1.1475,-1.2147,-1.31389,-1.24826,-1.29717,-1.30113,-1.24883,-1.28328,-1.39215,-1.46341,-1.30819,-1.37463,-1.25391,-1.13205,-0.939284,-0.779166,-0.741302,-0.705208,-0.44024,-0.283007,-0.245573,-0.0170564,0.141796,0.314732,0.462244,0.417813,0.583494,0.592221,0.815081,0.765324,0.909633,1.24911,1.23733,-9414.87
1.09315,1.34274,1.37457,1.32101,1.24626,1.39241,1.47982,1.49428,1.34097,1.39251,1.39912,1.26742,1.22787,1.02729,0.988551,0.89798,0.831689,0.701459,0.491973,0.387697,0.12519,0.245321,0.00108371,-0.171929,-0.572703,-0.761573,-0.706781,-0.775959,-0.768792,-0.652208,-0.819748,-0.931706,-1.1348,-1.29542,-1.2758,-1.39717,-1.41682,-1.41362,-1.40355,-1.48756,-1.34946,-1.21175,-1.26661,-1.11607,-0.975398,-0.990691,-0.98785,-0.895045,-0.749914,-0.559178,-0.510737,-0.354018,-0.0743858,0.0879342,0.173819,0.254275,0.311533,0.466318,0.529273,0.717388,0.769365,1.02901,1.14593,0.967588,1.17934,-9422.05
1.09103,1.38876,1.35664,1.25439,1.20717,1.39018,1.46729,1.46403,1.29218,1.38153,1.40163,1.20147,1.30447,1.02815,1.04362,0.961262,0.851054,0.671028,0.500271,0.37055,0.193135,0.195356,-0.0226797,-0.145558,-0.585385,-0.766935,-0.628659,-0.758875,-0.78096,-0.704978,-0.712579,-0.964846,-1.08972,-1.32349,-1.25542,-1.34402,-1.38303,-1.39804,-1.42431,-1.44674,-1.35455,-1.2819,-1.28215,-1.1784,-1.0517,-1.02637,-0.920721,-0.901718,-0.741025,-0.527571,-0.479578,-0.302464,-0.0851961,0.0300046,0.181486,0.259477,0.303062,0.481639,0.523555,0.713142,0.740548,0.930686,1.05507,1.00075,1.16646,-9419.93
1.0796,1.05632,1.06104,1.38244,1.62929,1.53357,1.32578,1.34842,1.4252,1.3711,1.24966,1.23465,1.08117,1.15187,0.92802,0.767569,0.59889,0.664501,0.551584,0.379172,0.296805,0.0976572,-0.0103143,-0.141481,-0.207146,-0.240755,-0.594114,-0.65687,-0.775402,-1.01851,-1.14796,-1.03369,-1.14954,-1.02079,-1.20907,-1.24956,-1.32132,-1.28978,-1.19112,-1.35727,-1.48877,-1.46963,-1.3712,-1.29078,-1.21963,-1.11457,-1.04045,-0.748082,-0.808872,-0.738739,-0.506655,-0.415598,-0.250324,-0.0753619,0.070087,0.277546,0.355969,0.466127,0.616108,0.730633,0.971404,0.922688,0.976105,1.17058,1.06336,-9426.59
1.09119,1.23962,1.25276,1.33282,1.5457,1.59836,1.40668,1.41249,1.37799,1.34693,1.40389,1.07809,1.07791,0.991563,1.08756,0.98894,0.896291,0.485715,0.497461,0.534599,0.286172,0.0748764,-0.0626495,-0.297711,-0.422986,-0.53148,-0.625886,-0.732167,-0.861799,-0.98589,-1.02291,-0.901261,-1.01768,-1.35255,-1.26623,-1.41455,-1.41032,-1.31197,-1.25587,-1.40004,-1.3939,-1.49201,-1.55291,-1.32312,-1.14523,-1.03386,-0.807475,-0.822657,-0.826584,-0.617439,-0.650163,-0.427634,-0.186694,0.00543325,0.133189,0.135857,0.257723,0.474947,0.577946,0.722037,0.892983,0.990476,1.12024,1.08418,1.34128,-9423.7
1.07541,1.2154,1.24354,1.30896,1.19982,1.30693,1.34883,1.40086,1.34052,1.33694,1.20642,1.28615,1.33335,1.20087,0.982315,0.741978,0.682817,0.876676,0.629863,0.266716,0.278182,0.186163,0.102704,-0.0641873,-0.418696,-0.512231,-0.686768,-0.752568,-0.827431,-0.892058,-0.953926,-1.2009,-1.26754,-1.1107,-1.26959,-1.28322,-1.34623,-1.44397,-1.42333,-1.37277,-1.53115,-1.30031,-1.13655,-1.22016,-1.03247,-1.04958,-1.0523,-0.798856,-0.693558,-0.626718,-0.309929,-0.195147,-0.150496,-0.0291473,0.0133787,0.340279,0.428696,0.447949,0.558345,0.661186,0.718663,0.950929,1.01279,1.26293,1.41922,-9425.74
1.07746,1.29493,1.16571,1.19344,1.30347,1.43934,1.37189,1.25864,1.45305,1.3531,1.2108,1.24464,1.14836,1.28763,1.03788,0.989103,0.667723,0.751296,0.408085,0.295821,0.241952,0.0618087,0.0482428,-0.270602,-0.528225,-0.486927,-0.63076,-0.694781,-0.856333,-0.84651,-1.01296,-0.916996,-1.29859,-1.26488,-1.26918,-1.37934,-1.3961,-1.39629,-1.32774,-1.5644,-1.40868,-1.39658,-1.23311,-1.18734,-1.074,-1.15212,-0.99669,-0.835221,-0.747846,-0.551928,-0.293132,-0.434016,-0.13066,-0.118393,0.0712501,0.229157,0.470181,0.39349,0.534549,0.652495,0.756773,0.886458,1.0542,1.06648,1.54344,-9422.49
1.08706,1.36483,1.39675,1.31784,1.45725,1.50396,1.48462,1.26097,1.33109,1.38986,1.21689,1.13645,1.14838,1.08215,0.998806,0.886637,0.838569,0.777005,0.544372,0.286521,0.300305,0.0980045,-0.00920075,-0.20939,-0.452837,-0.577228,-0.642172,-0.799673,-0.867431,-0.856774,-0.937965,-1.07183,-1.06278,-1.32,-1.30293,-1.27199,-1.46693,-1.31036,-1.23753,-1.48093,-1.55766,-1.52289,-1.32999,-1.12997,-1.06227,-1.01882,-0.937985,-0.831537,-0.748572,-0.566025,-0.474892,-0.242481,-0.191879,-0.197348,0.0859909,0.274766,0.313258,0.520261,0.462349,0.832981,0.998266,1.02358,0.914502,1.25039,1.49992,-9419.47
1.08114,1.3064,1.28435,1.33941,1.51108,1.52742,1.43607,1.43945,1.56936,1.34479,1.28682,1.18321,1.14189,1.16178,1.0364,1.08598,0.876634,0.644824,0.443743,0.492416,0.199246,0.130363,-0.0720378,-0.276311,-0.565706,-0.59886,-0.743278,-0.713963,-0.720535,-0.905768,-0.978165,-0.899346,-1.10413,-1.17521,-1.32119,-1.48977,-1.28243,-1.39708,-1.46728,-1.40999,-1.34316,-1.33217,-1.27581,-1.30035,-1.11583,-1.12046,-0.990836,-0.880402,-0.78766,-0.553843,-0.427653,-0.433433,-0.180608,0.0636554,0.00364249,0.22984,0.344507,0.443927,0.711117,0.655815,0.784469,0.826205,1.01834,0.988109,1.24301,-9414.98
1.09132,1.3504,1.26067,1.24669,1.30009,1.43366,1.39527,1.31114,1.24998,1.41505,1.31323,1.16536,1.18099,1.02328,0.978548,0.71236,0.686703,0.733214,0.61975,0.276116,0.231761,0.0538396,0.0585666,-0.144608,-0.322866,-0.508344,-0.484248,-0.693563,-0.823194,-0.810276,-0.864889,-1.12047,-1.07764,-1.19127,-1.17232,-1.19507,-1.45459,-1.27631,-1.16917,-1.39167,-1.49907,-1.4304,-1.41815,-1.1944,-1.10593,-0.9941,-0.929977,-0.80266,-0.742869,-0.751881,-0.596572,-0.273594,-0.22603,-0.142074,0.0266447,0.121724,0.271763,0.490131,0.458377,0.682245,0.742162,0.925244,0.953218,1.17544,1.5463,-9418.08
