# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model1_model
# start_datetime = 2023-08-13 16:16:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = ../data/data.json
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = ../goldStandardChains/model1/model1StanResults1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0-69-g0f36ee71
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,epsilon.1,epsilon.2,theta.1,theta.2,l.1.1,l.2.1,l.1.2,l.2.2,l.1.3,l.2.3,l.1.4,l.2.4,l.1.5,l.2.5,l.1.6,l.2.6,l.1.7,l.2.7,l.1.8,l.2.8,l.1.9,l.2.9,l.1.10,l.2.10,l.1.11,l.2.11,l.1.12,l.2.12,l.1.13,l.2.13,l.1.14,l.2.14,l.1.15,l.2.15,l.1.16,l.2.16,l.1.17,l.2.17,l.1.18,l.2.18,l.1.19,l.2.19,l.1.20,l.2.20,l.1.21,l.2.21,l.1.22,l.2.22,l.1.23,l.2.23,l.1.24,l.2.24,l.1.25,l.2.25,l.1.26,l.2.26,l.1.27,l.2.27,l.1.28,l.2.28,l.1.29,l.2.29,l.1.30,l.2.30,l.1.31,l.2.31,l.1.32,l.2.32,l.1.33,l.2.33,l.1.34,l.2.34,l.1.35,l.2.35,l.1.36,l.2.36,l.1.37,l.2.37,l.1.38,l.2.38,l.1.39,l.2.39,l.1.40,l.2.40,l.1.41,l.2.41,l.1.42,l.2.42,l.1.43,l.2.43,l.1.44,l.2.44,l.1.45,l.2.45,l.1.46,l.2.46,l.1.47,l.2.47,l.1.48,l.2.48,l.1.49,l.2.49,l.1.50,l.2.50,l.1.51,l.2.51,l.1.52,l.2.52,l.1.53,l.2.53,l.1.54,l.2.54,l.1.55,l.2.55,l.1.56,l.2.56,l.1.57,l.2.57,l.1.58,l.2.58,l.1.59,l.2.59,l.1.60,l.2.60,l.1.61,l.2.61,l.1.62,l.2.62,l.1.63,l.2.63,cht.1,cht.2,cht.3,log_theta.1,log_theta.2,l_init.1,l_init.2,logModel,log_theta2.1,log_theta2.2
# Adaptation terminated
# Step size = 0.379253
# Diagonal elements of inverse mass matrix:
# 0.000120768, 0.000222867, 0.0439935, 0.00440544, 0.00414823, 0.00477218, 0.00368659, 0.00423518, 0.00387601, 0.00427084, 0.00390074, 0.00384013, 0.00465688, 0.00421295, 0.00383387, 0.00396511, 0.00448309, 0.00451853, 0.00408394, 0.00480444, 0.0042595, 0.00406013, 0.00426787, 0.00420763, 0.00368103, 0.00411337, 0.00478578, 0.00416777, 0.00402559, 0.00412703, 0.00399088, 0.00380165, 0.00458992, 0.00394191, 0.00394253, 0.00359718, 0.00392568, 0.00421804, 0.00450656, 0.00440335, 0.0042981, 0.00421474, 0.00399309, 0.00400354, 0.00387754, 0.00403912, 0.00399448, 0.00412392, 0.00389983, 0.00386398, 0.00370938, 0.00402449, 0.00346684, 0.00383203, 0.00417619, 0.00450286, 0.00417922, 0.00405922, 0.0043243, 0.00455338, 0.00378713, 0.00426034, 0.00429953, 0.00448832, 0.00459876, 0.00535951, 0.00373697, 0.00380452, 0.00402457, 0.0035282, 0.00319751, 0.00329132, 0.00330524, 0.00385341, 0.0034746, 0.00347731, 0.0037598, 0.00402071, 0.00332063, 0.00410309, 0.00405427, 0.00394942, 0.003871, 0.00377359, 0.00357643, 0.00355602, 0.0033589, 0.00339256, 0.00382966, 0.00417537, 0.00356868, 0.00344387, 0.0034934, 0.00346969, 0.00397107, 0.00341939, 0.00341838, 0.00350977, 0.00378135, 0.00331669, 0.0033655, 0.00382636, 0.00364361, 0.00351746, 0.003687, 0.00366962, 0.00368738, 0.0037017, 0.00311664, 0.00365724, 0.00350518, 0.00384062, 0.00316549, 0.0033301, 0.00338859, 0.00349613, 0.00363605, 0.00378407, 0.00419468, 0.00365939, 0.00349662, 0.00340357, 0.00359371, 0.00372045, 0.00346825, 0.00360151, 0.00374261, 0.00398204, 0.00413571, 0.000402773, 1.5821
-5202.53,0.983463,0.379253,4,15,0,5269.93,0.615265,0.432752,0.558201,0.441799,1.8055,0.2305,1.79224,0.243838,1.86382,0.405754,1.8387,0.724648,1.85745,0.845897,1.71953,0.906025,1.51722,1.0558,1.49705,1.19926,1.43403,1.37345,1.35721,1.51108,0.934963,1.64777,1.00506,1.83615,0.875207,1.83287,0.629542,1.86433,0.351261,1.83412,0.0437759,1.9389,-0.0267902,1.78986,-0.238105,1.84365,-0.514453,1.8462,-0.63031,1.87111,-0.68741,1.62276,-0.859536,1.64461,-1.0459,1.3687,-1.42835,1.3058,-1.6046,1.35192,-1.56427,1.06649,-1.69445,0.936018,-1.78954,0.774908,-1.77701,0.599943,-1.78561,0.604802,-1.95987,0.463732,-1.86708,0.115523,-2.00564,-0.125452,-1.8581,-0.278102,-1.86957,-0.57775,-1.77461,-0.670088,-1.65687,-0.756464,-1.47886,-0.854063,-1.56855,-1.12116,-1.40482,-1.34342,-1.31038,-1.46119,-1.14815,-1.56142,-1.02852,-1.65571,-0.770376,-1.77554,-0.587261,-1.72917,-0.426247,-1.96123,-0.215192,-1.8506,-0.127037,-1.88534,0.142203,-1.97114,0.332506,-2.00885,0.549208,-1.89605,0.687594,-1.72744,0.992046,-1.74652,1.08949,-1.61074,1.34852,-1.43675,1.29111,-1.34872,1.44093,-1.24141,1.53779,-1.03655,1.5423,-1.02231,1.6974,-0.990301,1.89908,-0.621209,1.85244,-0.428469,1.91124,-0.256403,0.538199,0.00138921,0.460411,-0.583036,-0.816901,0.916787,0.950128,-16537.9,-16551.1,-44928.7
-5212.53,0.750568,0.379253,4,31,0,5267.21,0.616312,0.418387,0.657622,0.342378,1.74208,0.339253,1.82988,0.219865,1.7888,0.404766,1.94128,0.662334,1.76823,0.853655,1.64294,1.04644,1.52028,1.09061,1.54492,1.32976,1.34386,1.2807,1.21423,1.49151,0.883295,1.62364,0.713888,1.7439,0.652667,1.80959,0.459773,1.98208,0.363606,1.83072,0.153528,1.97473,-0.0257581,1.89507,-0.332823,1.97836,-0.490849,1.84876,-0.729707,1.74403,-0.817984,1.78588,-1.04289,1.77725,-1.27408,1.37112,-1.43002,1.28861,-1.66576,1.39976,-1.68033,1.09992,-1.61797,0.878519,-1.58649,0.867508,-1.82731,0.563611,-1.7765,0.386488,-1.80663,0.264298,-1.79654,0.154867,-2.01004,-0.0161978,-1.874,-0.247828,-1.70687,-0.358662,-1.77868,-0.723074,-1.61089,-0.833,-1.40294,-0.886868,-1.57609,-1.07146,-1.52586,-1.27771,-1.22051,-1.48064,-1.12401,-1.54016,-0.93984,-1.65196,-0.682669,-1.72727,-0.658166,-1.84699,-0.420995,-2.00216,-0.252845,-1.97388,-0.080747,-1.94535,0.0539116,-1.94445,0.373743,-1.78776,0.574343,-1.80174,0.71054,-1.66931,0.988259,-1.66356,1.01158,-1.6195,1.14605,-1.368,1.21282,-1.30406,1.42547,-1.19572,1.62852,-1.08225,1.70074,-1.03706,1.79673,-0.793836,1.84204,-0.509612,1.89151,-0.499524,1.95477,-0.234381,0.538923,0.000603566,0.460473,-0.419125,-1.07184,0.934156,0.948642,-16650,-16667,-47468.6
-5226.92,0.83174,0.379253,4,15,0,5285.01,0.610279,0.432068,0.667663,0.332337,1.57834,0.130751,1.77893,0.139787,1.88646,0.314882,1.7241,0.824796,1.82265,0.835437,1.7675,0.843599,1.57849,1.19659,1.47678,1.15387,1.38132,1.4008,1.13818,1.50825,0.978978,1.6344,1.0068,1.72449,0.809622,1.75167,0.636355,1.77051,0.358739,1.90163,0.0489894,1.81444,-0.0149968,1.94586,-0.281746,1.79457,-0.56037,1.79712,-0.644952,1.84963,-0.755521,1.59331,-0.861808,1.57662,-1.05435,1.46259,-1.4617,1.22272,-1.57035,1.1982,-1.60041,1.12922,-1.67699,1.0049,-1.84587,0.79809,-1.74543,0.692722,-1.77986,0.509562,-1.85427,0.387375,-1.97195,0.079566,-1.86462,-0.178501,-1.91889,-0.2301,-1.91799,-0.640547,-1.64547,-0.587473,-1.71388,-0.618384,-1.59161,-0.853166,-1.58549,-1.11075,-1.42809,-1.35028,-1.2968,-1.44892,-1.03109,-1.59799,-0.918034,-1.70276,-0.684159,-1.84859,-0.609631,-1.86245,-0.539281,-1.92123,-0.23022,-1.9788,-0.182455,-1.8736,0.251658,-1.9513,0.350459,-1.96352,0.533565,-1.82039,0.655767,-1.82209,0.875255,-1.64037,1.07008,-1.59077,1.3965,-1.4927,1.35929,-1.25402,1.49673,-1.22902,1.4575,-1.21209,1.64918,-0.951819,1.75025,-0.822232,1.7556,-0.631641,1.90863,-0.371159,2.04911,-0.401304,0.533656,0.00289738,0.463447,-0.403971,-1.10161,0.807741,0.877278,-16782.9,-16792.7,-44905.4
-5204.61,0.994877,0.379253,4,15,0,5281.18,0.608112,0.426881,0.639769,0.360231,1.76787,0.347879,1.82607,0.145553,1.79365,0.340148,1.9508,0.678755,1.89594,0.82233,1.72687,1.1547,1.56741,1.08767,1.56585,1.2015,1.374,1.35728,1.2099,1.53554,0.917053,1.73958,0.797063,1.79997,0.752688,1.68957,0.591113,1.88952,0.41548,1.80227,0.0717065,2.01952,-0.0315276,1.80758,-0.258174,1.97464,-0.530595,1.88201,-0.776198,1.7164,-0.796376,1.72663,-0.966212,1.67717,-1.11091,1.44435,-1.3067,1.34682,-1.60367,1.38365,-1.63042,1.23359,-1.69711,0.920671,-1.65555,0.849926,-1.83404,0.69693,-1.72652,0.424091,-1.8269,0.276461,-1.83767,0.133484,-2.01833,-0.0863973,-1.90154,-0.26969,-1.88275,-0.420817,-1.73947,-0.672295,-1.61934,-0.736732,-1.52419,-0.891713,-1.58927,-1.08682,-1.53787,-1.40349,-1.24069,-1.48848,-1.15832,-1.56532,-1.01323,-1.72696,-0.670341,-1.76179,-0.734637,-1.74202,-0.397427,-1.77401,-0.133063,-1.9101,-0.0636409,-1.98574,0.205829,-1.99548,0.375243,-1.91617,0.543749,-1.82145,0.706658,-1.74148,1.0728,-1.64225,1.11236,-1.56205,1.22142,-1.42682,1.17975,-1.24698,1.35344,-1.14858,1.55446,-1.09492,1.68301,-1.06857,1.82141,-0.838523,1.8711,-0.666805,1.82154,-0.462582,1.89707,-0.269822,0.543931,0.000504586,0.455565,-0.446649,-1.02101,1.05433,1.06644,-16918.6,-16935.3,-46097.1
-5205.62,0.864448,0.379253,4,15,0,5266.09,0.613884,0.426654,0.636976,0.363024,1.66883,0.418828,1.74306,0.193508,1.73226,0.358298,1.85793,0.680193,1.86813,0.714368,1.74923,0.978304,1.59538,1.02375,1.54701,1.19041,1.3404,1.32045,1.20263,1.44135,0.975544,1.64021,0.904418,1.76546,0.782878,1.7004,0.550404,1.85325,0.402711,1.7555,0.113141,1.98676,0.00657718,1.75631,-0.2323,1.93107,-0.472632,1.92943,-0.757349,1.80749,-0.813039,1.77923,-1.00797,1.7327,-1.18255,1.45729,-1.38491,1.2953,-1.71165,1.24312,-1.64401,1.05518,-1.63566,0.814911,-1.67505,0.818098,-1.94635,0.709896,-1.8162,0.455981,-1.9234,0.270372,-1.90503,0.0860734,-2.01091,-0.119603,-1.88648,-0.26629,-1.84148,-0.459073,-1.68227,-0.685861,-1.56114,-0.744168,-1.49413,-0.90143,-1.55641,-1.08227,-1.50225,-1.4105,-1.25671,-1.47498,-1.18885,-1.51396,-0.962836,-1.65961,-0.61298,-1.78023,-0.691524,-1.86946,-0.405024,-1.88618,-0.29626,-1.92803,-0.256406,-1.90633,0.1283,-1.88882,0.366816,-1.80081,0.493233,-1.75851,0.584027,-1.75174,0.926398,-1.71017,1.03367,-1.67681,1.20207,-1.48014,1.21518,-1.28543,1.41412,-1.18228,1.6604,-1.0582,1.65093,-0.958413,1.7208,-0.81218,1.85297,-0.725837,1.85758,-0.532878,1.96347,-0.324963,0.539628,0.00328687,0.457085,-0.451023,-1.01329,0.951071,1.02996,-16613.2,-16635.7,-45805.7
-5208.15,0.89877,0.379253,4,15,0,5266.68,0.614984,0.434391,0.591263,0.408737,1.72264,0.199041,1.89787,0.225238,1.93336,0.390042,1.86321,0.796411,1.80585,0.933763,1.59588,1.00922,1.51945,1.17433,1.44468,1.20431,1.45943,1.43943,1.20208,1.59342,0.86485,1.65737,0.849619,1.72472,0.74535,1.93714,0.594351,1.90654,0.281435,1.98317,0.0722192,1.85729,-0.00739569,2.02152,-0.282693,1.89036,-0.511525,1.82561,-0.625415,1.7978,-0.767095,1.62738,-0.961138,1.64788,-1.1289,1.4171,-1.44989,1.27213,-1.55492,1.43826,-1.56203,1.12668,-1.63872,1.05388,-1.78677,0.776189,-1.61677,0.62276,-1.63013,0.423136,-1.83107,0.440155,-1.90747,0.212866,-1.89697,-0.0698775,-1.8617,-0.208612,-1.78864,-0.507455,-1.79581,-0.676888,-1.7788,-0.747466,-1.58328,-0.886525,-1.49481,-1.10796,-1.40394,-1.30551,-1.25722,-1.45392,-1.14574,-1.5534,-0.986639,-1.6572,-0.791198,-1.75706,-0.622177,-1.78715,-0.425417,-1.92897,-0.139389,-1.94531,-0.00522436,-1.95383,0.139073,-2.01626,0.297752,-2.02562,0.650149,-1.92918,0.785286,-1.80198,0.997995,-1.57134,1.09071,-1.54776,1.29731,-1.42416,1.39501,-1.28248,1.48385,-1.21888,1.44108,-1.22169,1.681,-1.00932,1.82298,-0.93505,1.75919,-0.489547,1.86808,-0.324727,2.03426,-0.253721,0.543499,0.000653107,0.455848,-0.525495,-0.894683,1.04398,1.05965,-16682.4,-16698,-44862.5
