# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model2_model
# start_datetime = 2023-08-13 16:16:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = ../data/data.json
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = ../goldStandardChains/model2/model2StanResults1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0-69-g0f36ee71
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,epsilon.1,epsilon.2,epsilon.3,theta.1,theta.2,theta.3,l.1.1,l.2.1,l.3.1,l.1.2,l.2.2,l.3.2,l.1.3,l.2.3,l.3.3,l.1.4,l.2.4,l.3.4,l.1.5,l.2.5,l.3.5,l.1.6,l.2.6,l.3.6,l.1.7,l.2.7,l.3.7,l.1.8,l.2.8,l.3.8,l.1.9,l.2.9,l.3.9,l.1.10,l.2.10,l.3.10,l.1.11,l.2.11,l.3.11,l.1.12,l.2.12,l.3.12,l.1.13,l.2.13,l.3.13,l.1.14,l.2.14,l.3.14,l.1.15,l.2.15,l.3.15,l.1.16,l.2.16,l.3.16,l.1.17,l.2.17,l.3.17,l.1.18,l.2.18,l.3.18,l.1.19,l.2.19,l.3.19,l.1.20,l.2.20,l.3.20,l.1.21,l.2.21,l.3.21,l.1.22,l.2.22,l.3.22,l.1.23,l.2.23,l.3.23,l.1.24,l.2.24,l.3.24,l.1.25,l.2.25,l.3.25,l.1.26,l.2.26,l.3.26,l.1.27,l.2.27,l.3.27,l.1.28,l.2.28,l.3.28,l.1.29,l.2.29,l.3.29,l.1.30,l.2.30,l.3.30,l.1.31,l.2.31,l.3.31,l.1.32,l.2.32,l.3.32,l.1.33,l.2.33,l.3.33,l.1.34,l.2.34,l.3.34,l.1.35,l.2.35,l.3.35,l.1.36,l.2.36,l.3.36,l.1.37,l.2.37,l.3.37,l.1.38,l.2.38,l.3.38,l.1.39,l.2.39,l.3.39,l.1.40,l.2.40,l.3.40,l.1.41,l.2.41,l.3.41,l.1.42,l.2.42,l.3.42,l.1.43,l.2.43,l.3.43,l.1.44,l.2.44,l.3.44,l.1.45,l.2.45,l.3.45,l.1.46,l.2.46,l.3.46,l.1.47,l.2.47,l.3.47,l.1.48,l.2.48,l.3.48,l.1.49,l.2.49,l.3.49,l.1.50,l.2.50,l.3.50,l.1.51,l.2.51,l.3.51,l.1.52,l.2.52,l.3.52,l.1.53,l.2.53,l.3.53,l.1.54,l.2.54,l.3.54,l.1.55,l.2.55,l.3.55,l.1.56,l.2.56,l.3.56,l.1.57,l.2.57,l.3.57,l.1.58,l.2.58,l.3.58,l.1.59,l.2.59,l.3.59,l.1.60,l.2.60,l.3.60,l.1.61,l.2.61,l.3.61,l.1.62,l.2.62,l.3.62,l.1.63,l.2.63,l.3.63,cht.1,cht.2,cht.3,cht.4,log_theta.1,log_theta.2,log_theta.3,l_init.1,l_init.2,l_init.3,logModel,log_theta2.1,log_theta2.2,log_theta2.3
# Adaptation terminated
# Step size = 0.0443276
# Diagonal elements of inverse mass matrix:
# 0.000230754, 1.60991, 0.00014137, 0.0387881, 1.72267, 0.00425597, 0.00346112, 0.00354826, 0.00369468, 0.00340341, 0.00380252, 0.00334203, 0.00349716, 0.00426043, 0.0036253, 0.0033846, 0.00332532, 0.00397693, 0.00329557, 0.00366573, 0.00347255, 0.00387546, 0.00356337, 0.00334546, 0.00343414, 0.00313832, 0.00390178, 0.00368491, 0.0034895, 0.00354864, 0.00347609, 0.00360616, 0.00347929, 0.00358349, 0.003694, 0.00398657, 0.00328881, 0.00355835, 0.00382173, 0.00397323, 0.00381965, 0.00351529, 0.00403851, 0.00390038, 0.00335546, 0.00371755, 0.00396824, 0.00364038, 0.00337465, 0.00367305, 0.00352301, 0.00372767, 0.00370352, 0.00360529, 0.00339953, 0.0036789, 0.0039311, 0.00335923, 0.00342246, 0.00370741, 0.00359699, 0.003949, 0.00368309, 0.00355211, 0.00348971, 0.00384977, 0.00408973, 0.00430777, 0.302772, 0.33175, 0.361037, 0.386079, 0.420207, 0.450112, 0.476048, 0.500224, 0.529798, 0.544381, 0.561238, 0.585022, 0.60007, 0.634443, 0.668305, 0.687075, 0.713891, 0.738074, 0.756039, 0.783228, 0.80029, 0.833754, 0.845371, 0.865331, 0.891801, 0.906728, 0.936304, 0.946609, 0.972659, 0.981535, 1.00418, 1.02745, 1.04621, 1.07233, 1.09521, 1.11868, 1.13971, 1.16171, 1.17398, 1.20672, 1.23173, 1.26475, 1.27899, 1.30189, 1.3481, 1.38414, 1.40159, 1.41752, 1.43065, 1.44478, 1.46391, 1.49713, 1.53241, 1.55517, 1.57154, 1.59389, 1.61823, 1.64121, 1.6581, 1.70593, 1.73921, 1.76222, 1.78781, 0.00482865, 0.00406189, 0.00441117, 0.00367978, 0.00357737, 0.00401452, 0.00408462, 0.00382281, 0.00455702, 0.00409429, 0.00427785, 0.00381821, 0.00395019, 0.00406571, 0.00411346, 0.00359643, 0.00406318, 0.0038535, 0.00421882, 0.00383311, 0.004035, 0.00436612, 0.00379999, 0.00390367, 0.00438141, 0.00401526, 0.00388364, 0.00451636, 0.00387657, 0.0044966, 0.00407562, 0.0038993, 0.00388468, 0.00447903, 0.00443108, 0.00457518, 0.00426552, 0.00426258, 0.00433373, 0.00405736, 0.00423163, 0.00432051, 0.00396094, 0.00430296, 0.00422509, 0.00383122, 0.00406599, 0.00380066, 0.00436272, 0.00467338, 0.00430496, 0.00447776, 0.00423218, 0.00436303, 0.00411381, 0.00445079, 0.00432439, 0.00435655, 0.00419219, 0.0042437, 0.00403074, 0.00422122, 0.00483151, 0.000808596, 1.64699, 0.976956
-5211.49,0.901661,0.0443276,7,127,0,5327.58,0.425272,3.58173,0.618681,0.364207,0.0186707,0.617122,0.0218589,1.60282,1.85177,0.23467,1.63184,1.8679,0.413337,1.45037,1.87392,0.775555,1.47033,1.98483,0.892532,1.5976,1.81541,0.992405,1.56417,1.62851,1.13085,1.31759,1.50353,1.19699,1.43261,1.4418,1.46114,1.3497,1.3557,1.4676,1.39603,1.12125,1.59211,1.30927,0.851171,1.72832,1.486,0.876486,1.76781,1.56832,0.806379,1.87479,1.41575,0.611809,1.91692,1.4622,0.413125,1.95921,1.69312,0.0912479,1.8832,1.59725,0.0763294,1.89447,1.66983,-0.173843,1.84604,1.73472,-0.439459,1.76042,1.66539,-0.654064,1.68206,1.63678,-0.785991,1.63986,1.50381,-1.03545,1.47981,1.55065,-1.19166,1.25634,1.19573,-1.45784,1.29096,1.2415,-1.55181,1.1264,1.19678,-1.47578,0.886325,1.17451,-1.65849,0.795402,1.23583,-1.70935,0.671371,1.25474,-1.8261,0.49407,1.43705,-1.64789,0.411602,1.5034,-1.74357,0.240964,1.64605,-1.96304,-0.147897,1.6468,-2.01605,-0.228484,1.83418,-1.87778,-0.535849,1.8224,-1.76636,-0.847984,1.67074,-1.6914,-0.776254,1.64054,-1.56632,-0.94444,1.47088,-1.44864,-1.04986,1.27226,-1.56633,-1.28397,1.33194,-1.53263,-1.47256,1.26518,-1.25113,-1.46912,1.16511,-1.09009,-1.63825,0.998519,-1.0422,-1.83583,0.924816,-0.775135,-1.85641,0.769427,-0.722632,-1.95748,0.866902,-0.428688,-2.03822,0.946808,-0.26348,-1.90064,1.15033,-0.04157,-1.88539,1.16643,0.142712,-1.91221,1.34196,0.320888,-1.90629,1.38934,0.528403,-1.79872,1.47239,0.794854,-1.58705,1.51437,0.894628,-1.68367,1.38291,0.959329,-1.49439,1.61112,1.20519,-1.24486,1.5405,1.22591,-1.16783,1.56112,1.55517,-1.11629,1.85848,1.53361,-0.899769,2.08365,1.61548,-0.715328,2.26449,1.79459,-0.606871,2.23982,1.74531,-0.399627,2.14982,1.87171,-0.24604,1.90117,2.00034,0.491569,0.0690852,0.0228445,0.416502,-1.01003,-3.9808,-0.482688,-0.202354,1.45569,2.00396,-14790.6,-46086.3,-14862.1,-16371.3
-5210.2,0.791097,0.0443276,7,127,0,5298.29,0.435677,1.16638,0.610084,0.361473,0.000700648,0.637827,0.202608,1.5337,1.89042,0.18442,1.54871,1.85781,0.407735,1.51537,1.75244,0.66914,1.57835,1.92443,0.810546,1.70823,1.92317,0.925151,1.72949,1.74465,1.131,1.78576,1.56886,1.26429,1.88609,1.49915,1.33328,1.82132,1.32832,1.60533,1.99044,1.11958,1.63332,1.76819,0.997498,1.77317,1.64913,0.89852,1.77887,1.76853,0.697867,1.84712,1.66865,0.539046,1.76236,1.4585,0.356475,1.86406,1.30927,0.117908,1.91418,1.48951,-0.124805,1.91456,1.52775,-0.225558,1.9064,1.72238,-0.383644,1.85192,1.75013,-0.584014,1.61977,1.90535,-0.904765,1.64221,2.13089,-0.955058,1.35945,1.964,-1.09855,1.2633,1.80024,-1.49866,1.33656,1.4573,-1.6134,1.17283,1.42625,-1.56253,0.918498,1.38973,-1.55461,0.828541,1.26248,-1.71979,0.647538,1.43899,-1.70184,0.379912,1.54077,-1.71101,0.289274,1.29271,-1.90392,0.128434,1.39504,-1.88572,-0.0231606,1.33441,-2.02377,-0.229373,1.56367,-2.03248,-0.407791,1.47929,-1.95273,-0.62261,1.41986,-1.82878,-0.848477,1.61498,-1.70728,-0.938402,1.66515,-1.53906,-1.16573,1.66941,-1.55252,-1.35086,1.49432,-1.36045,-1.43973,1.56967,-1.26524,-1.47331,1.77011,-1.16935,-1.55323,1.91084,-0.96745,-1.73681,2.11755,-0.70289,-1.78789,2.14025,-0.634482,-1.93086,2.1425,-0.482006,-1.85526,2.04512,-0.172278,-1.89703,2.13318,-0.118912,-2.01106,2.2538,0.162329,-1.8914,2.56215,0.423939,-1.85026,2.44071,0.621145,-1.79676,2.02547,0.670203,-1.70572,2.08613,0.976164,-1.59848,2.05216,1.09025,-1.45727,2.18186,1.3534,-1.29468,2.08704,1.30423,-1.26463,2.05186,1.38599,-1.14832,1.75915,1.53003,-1.02328,1.7439,1.62683,-0.82262,1.88471,1.65684,-0.526755,1.78373,1.73263,-0.456815,1.659,1.85363,-0.316575,1.80941,1.89917,0.51054,0.0540059,0.0120672,0.423387,-1.01757,-7.2635,-0.449689,0.252959,1.5491,1.83871,-16770.3,-44231.6,-19044.1,-16845.9
-5222.45,0.783935,0.0443276,7,127,0,5311.73,0.435505,1.9056,0.611392,0.323198,0.000299275,0.676503,0.197333,1.66981,1.88187,0.209405,1.76085,1.81349,0.398393,1.6138,1.78327,0.624964,1.67867,1.89533,0.845309,1.72527,1.95288,0.964294,1.6369,1.76503,1.16723,1.79395,1.55695,1.25764,1.85199,1.42813,1.33376,1.73178,1.30285,1.60719,1.87307,1.19535,1.62601,1.76882,0.994849,1.79878,1.58832,0.831721,1.73516,1.82809,0.708644,1.86215,1.77593,0.470773,1.83281,1.61829,0.332269,1.86554,1.62891,0.122991,1.91101,1.82137,-0.0897226,1.8989,2.01158,-0.188344,1.89838,1.91458,-0.406157,1.86557,1.44936,-0.639583,1.61143,1.50063,-0.830983,1.63758,1.34318,-0.942069,1.37458,1.78443,-1.10862,1.36061,1.76611,-1.47265,1.2938,1.85185,-1.61959,1.11484,1.90268,-1.53252,0.944817,1.69402,-1.52138,0.814474,1.66714,-1.67823,0.667158,1.6521,-1.76735,0.474865,1.70368,-1.75327,0.348771,1.5797,-1.88142,0.10095,1.34334,-1.92043,0.0147066,1.57181,-2.03836,-0.228272,1.41378,-1.97698,-0.375546,1.31767,-1.9606,-0.679181,1.28647,-1.90983,-0.851643,1.27278,-1.66577,-0.946972,1.47107,-1.47803,-1.20906,1.5823,-1.60714,-1.27573,1.48614,-1.33526,-1.43839,1.65365,-1.27874,-1.45041,1.72793,-1.20741,-1.61735,2.03342,-1.02353,-1.79523,2.0993,-0.613934,-1.82891,2.38164,-0.663106,-1.87632,2.30688,-0.464014,-1.81682,2.1022,-0.22859,-1.90844,2.09981,-0.0529381,-1.97851,2.36734,0.168142,-1.91695,2.48056,0.357441,-1.84886,2.47525,0.592177,-1.76587,2.42749,0.613652,-1.61465,2.35303,0.925705,-1.61848,2.33263,1.06886,-1.48531,2.49128,1.3214,-1.19937,2.16937,1.34184,-1.25717,2.16136,1.34351,-1.17189,2.16174,1.56952,-0.967956,2.16909,1.62158,-0.840605,2.17625,1.74461,-0.542509,2.26389,1.71922,-0.415117,2.17585,1.85517,-0.280913,1.95848,1.82388,0.512311,0.0596334,0.00867321,0.419383,-1.12949,-8.11415,-0.390819,0.295453,1.72665,1.93481,-14646.1,-44204,-14714.6,-16743.2
-5219,0.950738,0.0443276,7,127,0,5331.32,0.421729,9.59566,0.61853,0.396927,0.00388357,0.599189,0.0918904,1.0302,1.83874,0.202198,1.10209,1.81021,0.339607,1.34046,1.92402,0.822323,1.16462,1.84241,0.801954,1.31157,1.77048,0.959425,1.20542,1.63282,1.01514,1.15374,1.51796,1.13777,1.45365,1.55283,1.34539,1.6661,1.45428,1.44361,1.62734,1.20047,1.6011,1.49521,0.853465,1.69369,1.44808,0.890792,1.81356,1.52959,0.777493,1.87454,1.60369,0.654108,1.86165,1.6761,0.338914,1.93467,1.61943,0.0560871,1.9202,1.68551,0.0808378,1.89499,1.86417,-0.337165,1.88578,1.74374,-0.586759,1.77458,2.04066,-0.713722,1.76686,2.06344,-0.799499,1.72514,2.20987,-1.02147,1.47179,2.18702,-1.22298,1.20542,2.5097,-1.39376,1.30871,2.37198,-1.60285,1.11728,2.22505,-1.71018,0.943002,2.18152,-1.7793,0.828021,2.12639,-1.71578,0.630767,2.28375,-1.77688,0.419674,2.4248,-1.73811,0.342825,2.25606,-1.77055,0.180831,1.89481,-1.84915,-0.199318,1.88888,-1.8276,-0.271265,1.98136,-1.7063,-0.610197,2.0592,-1.6748,-0.691545,2.06201,-1.57659,-0.662651,1.92958,-1.69499,-0.867724,2.08914,-1.53993,-0.992428,1.9915,-1.45751,-1.40103,1.85295,-1.58269,-1.51315,1.94582,-1.24312,-1.6337,1.98485,-1.11504,-1.66296,2.1747,-0.931496,-1.70818,2.23705,-0.788575,-1.80189,2.45589,-0.598426,-1.91592,2.19068,-0.404559,-2.00227,2.55773,-0.226634,-1.94456,2.6614,-0.207206,-1.95903,2.58179,0.0722569,-1.87069,2.75726,0.28591,-1.83332,2.62558,0.512642,-1.72328,2.53901,0.791126,-1.64902,2.51641,0.954418,-1.5844,2.56399,1.02931,-1.44628,2.28175,1.22018,-1.38862,2.19219,1.27594,-1.18909,2.07803,1.55534,-1.08608,1.97337,1.5613,-1.02412,1.97928,1.64977,-0.88306,1.95311,1.7479,-0.648925,1.74445,1.83159,-0.439403,1.51453,1.87467,-0.267398,1.77546,2.06436,0.502175,0.0418055,0.0342217,0.421797,-0.924002,-5.551,-0.512178,0.0522069,1.05554,1.87686,-16472.3,-47134.9,-20272.4,-16534.3
-5231.6,0.846258,0.0443276,7,127,0,5333.6,0.436335,0.207214,0.609298,0.327407,0.00841901,0.664173,0.25135,0.611208,1.93502,0.219015,0.73229,1.83922,0.37989,0.865678,1.7718,0.643274,0.917734,1.89098,0.859037,0.877951,1.93083,0.954345,0.920857,1.67828,1.24203,1.04057,1.58094,1.23792,1.079,1.45553,1.37765,1.1171,1.34344,1.63977,1.04406,1.20569,1.68275,1.23706,1.00107,1.79323,1.20779,0.862944,1.83117,1.22085,0.744887,1.91501,1.16005,0.486211,1.82084,1.17166,0.325629,1.89749,0.975267,0.121897,1.89944,0.977929,-0.0142853,1.87754,0.863406,-0.217321,1.85032,0.889789,-0.393384,1.84827,1.01023,-0.60625,1.62517,1.53978,-0.818921,1.60998,1.66562,-0.852814,1.41565,1.42288,-1.11319,1.41637,1.58326,-1.48524,1.33476,1.60341,-1.58323,1.05071,1.83709,-1.56491,0.891696,1.67044,-1.5121,0.816924,1.75396,-1.7089,0.620615,1.90877,-1.79945,0.499028,1.98454,-1.8002,0.328187,1.80766,-1.91556,0.09546,1.93864,-1.97868,0.0510617,1.95779,-2.09672,-0.249676,2.03389,-1.99119,-0.333942,2.11356,-1.9919,-0.686138,1.81635,-1.87107,-0.771997,1.838,-1.65234,-1.01497,2.0258,-1.52376,-1.13916,1.83215,-1.52346,-1.3077,2.09063,-1.3505,-1.41568,2.17034,-1.24256,-1.36366,2.28281,-1.19566,-1.69296,2.16744,-1.04458,-1.78195,2.43148,-0.599264,-1.84716,2.8821,-0.692864,-1.86667,2.86661,-0.461691,-1.8947,2.71408,-0.257772,-1.89812,2.74317,-0.0212566,-1.9979,2.66566,0.176619,-1.89151,2.60362,0.330625,-1.88093,2.60098,0.58572,-1.84097,2.64325,0.656913,-1.64984,2.54667,0.947467,-1.61825,2.73425,1.12016,-1.46514,2.64626,1.29463,-1.18191,2.436,1.28002,-1.19143,2.53078,1.40938,-1.2125,2.25697,1.48853,-0.919726,2.21566,1.72245,-0.862495,2.17042,1.74934,-0.583613,2.02798,1.75223,-0.393918,2.04569,1.9606,-0.340265,2.10253,1.80904,0.507434,0.0143238,0.0674148,0.410828,-1.11655,-4.77726,-0.409212,0.178405,0.522176,2.14013,-16813.3,-44193.2,-475894,-16879.1
-5228.04,0.997175,0.0443276,7,127,0,5323.16,0.438395,1.13762,0.611315,0.346835,0.0187194,0.634445,0.259595,0.909702,1.94439,0.17572,0.741091,1.7928,0.407615,0.89017,1.77527,0.601838,0.890169,1.93887,0.843966,1.13718,1.94082,0.999451,0.973179,1.72505,1.23063,1.01784,1.59162,1.25458,0.998859,1.41347,1.36713,0.88841,1.33656,1.62103,0.818476,1.18369,1.67553,0.973375,1.00816,1.72917,0.988354,0.854245,1.83115,1.02558,0.725368,1.93514,0.989217,0.54583,1.75565,1.26256,0.313608,1.90557,1.34687,0.0648342,1.93654,1.5505,-0.00739446,1.88223,1.61035,-0.229348,1.87727,1.49478,-0.438722,1.79862,1.22869,-0.634138,1.61722,1.27746,-0.832644,1.67003,1.18391,-0.918825,1.36953,1.2062,-1.0933,1.4214,1.29358,-1.51597,1.33003,1.50879,-1.65574,1.11093,1.72199,-1.56384,0.860525,1.58978,-1.50315,0.793782,1.68622,-1.67096,0.602161,1.75012,-1.78867,0.552809,1.54196,-1.74031,0.338269,1.63438,-1.9516,0.0907862,1.53211,-2.02313,0.00577129,1.58079,-2.05768,-0.315589,1.63381,-1.98077,-0.39214,1.59966,-2.0023,-0.650015,1.66544,-1.83568,-0.770499,1.91998,-1.68392,-0.991926,1.93575,-1.44736,-1.1334,2.09614,-1.48336,-1.34798,2.09266,-1.34947,-1.35605,2.46043,-1.25576,-1.38516,2.39674,-1.23153,-1.70002,2.28711,-1.0296,-1.77994,2.274,-0.685875,-1.78864,2.40367,-0.650623,-1.81667,2.57984,-0.459397,-1.8653,2.5258,-0.308114,-1.89615,2.60655,-0.016346,-2.03783,2.77738,0.093426,-1.88909,2.66291,0.324743,-1.87583,2.4013,0.5775,-1.90967,2.28035,0.662677,-1.66082,2.36793,0.933164,-1.62464,1.97553,1.13875,-1.47721,2.07295,1.2999,-1.21883,2.12773,1.29353,-1.16191,1.98181,1.35895,-1.19551,2.03717,1.49023,-0.934822,2.22523,1.74523,-0.873324,2.297,1.73878,-0.521821,2.35535,1.77403,-0.421963,2.41917,1.8548,-0.324361,2.55057,1.83638,0.510687,0.032809,0.0395793,0.416925,-1.05891,-3.9782,-0.455004,0.256478,1.04389,1.9938,-16737.1,-43783.4,-21350.6,-16807.7
